Quotazioni Fantacalcio Stagione 2025 26;;;;;;;;;;;
Id;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
2764;Pc;Martinez L.;Inter;34;34;0;34;34;0;318;318
4871;Pc;Thuram;Inter;32;29;3;32;29;3;272;272
6434;A;Yildiz;Juventus;27;24;3;27;25;2;203;203
6052;Pc;Hojlund;Napoli;26;24;2;26;24;2;200;200
7017;Pc;Douvikas;Como;25;8;17;26;7;19;137;137
531;A;Berardi;Sassuolo;25;21;4;25;21;4;91;91
5637;Pc;Davis K.;Udinese;25;12;13;25;11;14;111;111
5585;A;Malen;Roma;25;14;11;25;14;11;349;349
2137;Pc;Scamacca;Atalanta;24;19;5;24;19;5;90;87
6435;Pc;Krstovic;Atalanta;24;20;4;24;20;4;105;105
2061;Pc;Simeone;Torino;23;8;15;23;7;16;100;100
6060;A;Laurientè;Sassuolo;22;15;7;22;15;7;82;82
505;A;Bonazzoli;Cremonese;21;1;20;21;1;20;36;36
7071;Pc;Esposito F.P.;Inter;21;7;14;21;7;14;37;34
4510;A;Leao;Milan;21;24;-3;21;24;-3;85;85
4463;A;Esposito Se.;Cagliari;20;7;13;20;7;13;66;66
6669;Pc;Bonny;Inter;20;5;15;20;5;15;15;12
5734;A;Soulè;Roma;20;20;0;20;21;-1;87;87
6572;Pc;Castro S.;Bologna;18;19;-1;18;19;-1;35;32
4728;A;Nkunku;Milan;18;20;-2;18;20;-2;45;45
7023;Pc;Pellegrino M.;Parma;17;13;4;17;12;5;57;54
5995;A;De Ketelaere;Atalanta;16;22;-6;16;23;-7;59;59
2097;Pc;Kean;Fiorentina;16;33;-17;16;33;-17;45;41
2038;Pc;Pinamonti;Sassuolo;16;16;0;16;16;0;55;52
2499;Pc;Vardy;Cremonese;16;15;1;16;15;1;33;30
2489;A;Pedro;Lazio;15;13;2;15;13;2;14;14
4371;A;Raspadori;Atalanta;15;13;2;15;13;2;39;39
2531;Pc;Lukaku;Napoli;15;31;-16;15;31;-16;10;10
5455;A;Moreo;Pisa;15;5;10;15;5;10;20;20
6646;A;Adams C.;Torino;15;14;1;15;14;1;21;21
4923;Pc;Colombo;Genoa;14;12;2;14;11;3;38;35
6556;A;Noslin;Lazio;14;7;7;14;7;7;23;23
6001;"W;A";Banda;Lecce;14;5;9;14;5;9;20;22
7199;A;Kilicsoy;Cagliari;14;6;8;14;6;8;7;7
6552;Pc;Orban G.;Verona;14;15;-1;14;15;-1;15;12
7129;"W;A";Rodriguez Je.;Como;13;5;8;13;5;8;20;22
5506;A;Ekuban;Genoa;13;2;11;13;2;11;12;12
6164;Pc;Vitinha O.;Genoa;13;12;1;13;11;2;20;17
5544;Pc;David;Juventus;13;27;-14;13;27;-14;30;27
2841;Pc;Vlahovic;Juventus;13;24;-11;13;24;-11;50;47
309;A;Dybala;Roma;13;26;-13;13;27;-14;40;40
7162;A;Giovane;Napoli;13;1;12;13;1;12;8;8
4436;A;Cambiaghi;Bologna;12;11;1;12;11;1;10;10
6967;"W;A";Diao;Como;12;17;-5;12;18;-6;29;32
7008;Pc;Gimenez;Milan;12;25;-13;12;25;-13;10;10
5500;"W;A";Cancellieri;Lazio;11;3;8;11;3;8;14;16
6439;Pc;Cheddira;Lecce;11;4;7;11;4;7;23;20
2678;Pc;Fullkrug;Milan;11;13;-2;11;13;-2;13;10
2832;"W;A";Boga;Juventus;11;6;5;11;7;4;40;42
6243;Pc;Borrelli;Cagliari;10;5;5;10;4;6;13;10
5515;A;Okereke;Cremonese;10;5;5;10;5;5;5;5
6822;A;Ekhator;Genoa;10;1;9;10;1;9;8;8
6675;Pc;Dovbyk;Roma;10;21;-11;10;21;-11;8;8
6365;Pc;Ferguson E.;Roma;10;19;-9;10;19;-9;12;10
5336;Pc;Nzola;Sassuolo;10;12;-2;10;12;-2;15;12
7313;Pc;Ratkov;Lazio;10;15;-5;10;15;-5;9;9
7316;Pc;Durosinmi;Pisa;10;15;-5;10;15;-5;9;9
7347;A;Bowie;Verona;10;6;4;10;6;4;35;35
5918;A;Sulemana K.;Atalanta;9;9;0;9;9;0;7;7
608;Pc;Zapata D.;Torino;8;20;-12;8;20;-12;14;11
7249;Pc;Buksa;Udinese;8;9;-1;8;9;-1;8;8
7252;Pc;Stulic;Lecce;8;13;-5;8;13;-5;12;10
6380;"W;A";Solomon;Fiorentina;8;7;1;9;8;1;20;22
6981;Pc;Vaz;Roma;8;10;-2;8;10;-2;11;10
4359;Pc;Piccoli;Fiorentina;7;17;-10;7;17;-10;12;10
7127;"W;A";Addai;Como;7;7;0;7;7;0;9;10
7001;"W;A";N'Dri;Lecce;7;5;2;7;5;2;10;12
7342;Pc;Elphege;Parma;7;1;6;7;1;6;18;15
6643;Pc;Dallinga;Bologna;6;10;-4;6;10;-4;9;9
5672;Pc;Dia;Lazio;6;20;-14;6;20;-14;9;9
7128;"W;A";Kuhn;Como;5;14;-9;6;15;-9;9;9
5471;Pc;Djuric;Cremonese;5;9;-4;5;8;-3;8;8
6836;Pc;Meister;Pisa;5;2;3;5;2;3;9;9
6827;A;Njie;Torino;5;1;4;5;1;4;4;4
479;Pc;Sanabria;Cremonese;5;7;-2;5;6;-1;10;10
441;Pc;Belotti;Cagliari;5;12;-7;5;11;-6;12;10
7272;Pc;Gueye;Udinese;5;1;4;5;1;4;1;1
6159;A;Sarr A.;Verona;4;8;-4;4;8;-4;8;8
6630;Pc;Mosquera;Verona;4;6;-2;4;6;-2;8;8
6314;Pc;Openda;Juventus;4;22;-18;4;22;-18;8;8
7344;Pc;Stojilkovic;Pisa;4;4;0;4;4;0;7;7
7349;Pc;Kulenovic;Torino;4;5;-1;4;5;-1;9;9
7374;Pc;Mendy P.;Cagliari;4;1;3;4;1;3;15;12
6895;"W;A";Dominguez B.;Bologna;3;9;-6;3;9;-6;8;8
247;Pc;Pavoletti;Cagliari;3;1;2;3;1;2;7;7
6519;Pc;Camarda;Lecce;2;12;-10;2;12;-10;8;8
7161;Pc;Bayo V.;Udinese;2;4;-2;2;4;-2;8;8
313;Pc;Morata;Como;2;18;-16;2;18;-16;10;10
7239;Pc;Braschi;Fiorentina;2;1;1;2;1;1;1;1
6555;Pc;Moumbagna;Cremonese;2;6;-4;2;6;-4;5;5
7338;A;Albarracin;Cagliari;2;1;1;2;1;1;1;1
2012;Pc;Milik;Juventus;1;1;0;1;1;0;5;5
6207;"W;A";Almqvist;Parma;1;4;-3;1;4;-3;7;8
7158;Pc;Moro L.;Sassuolo;1;1;0;1;1;0;1;1
7183;A;Aboukhlal;Torino;1;9;-8;1;9;-8;8;8
7213;Pc;Frigan;Parma;1;7;-6;1;6;-5;5;5
7262;A;Balentien;Milan;1;1;0;1;1;0;1;1
7277;Pc;Arena A.;Roma;1;1;0;1;1;0;1;1
7309;Pc;Isaac;Verona;1;1;0;1;1;0;1;1
7317;Pc;Trepy;Cagliari;1;1;0;1;1;0;1;1
7368;Pc;Vermesan;Verona;1;1;0;1;1;0;1;1
7381;Pc;Mikolajewski;Parma;1;1;0;1;1;0;1;1
7388;A;Mosconi;Inter;1;1;0;1;1;0;1;1
